Gene ID	source_id	scaled sense - 40-5 hours post-invasion - unique only	scaled sense - 2-10 hours post-invasion - unique only	scaled sense - 7-15 hours post-invasion - unique only	scaled sense - 12-20 hours post-invasion - unique only	scaled sense - 17-25 hours post-invasion - unique only	scaled sense - 22-30 hours post-invasion - unique only	scaled sense - 27-35 hours post-invasion - unique only	scaled sense - 32-40 hours post-invasion - unique only	Gene Name or Symbol	sense - T05 - unique only	sense - T10 - unique only	sense - T15 - unique only	sense - T20 - unique only	sense - T25 - unique only	sense - T30 - unique only	sense - T35 - unique only	sense - T40 - unique only	3D7 2020 sense - 0hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 8hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 16hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 24hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 32hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 40hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 48hr 3D7 DAFT-seq - unique only
PF3D7_1141800	PF3D7_1141800.1	52.89	6.1	3.31	1.2	0.67	1.95	56.99	1387.43	N/A	106.06	21.35	3.26	0.61	0	1.11	40.59	272.16	58.57	29.93	18.75	25.17	134.84	200.74	109.32
PF3D7_1141900	PF3D7_1141900.1	0.31	1.28	0.2	0.94	0.96	1.4	5	2.77	IMC1b	6.53	9.44	7.67	5.99	3.46	1.74	2.01	5.56	16.46	27.95	21.16	20.16	11.83	19.14	29.52
PF3D7_1142000	PF3D7_1142000.1	1.34	0.95	0.76	0.54	26.18	92.35	172.22	54.93	N/A	4.31	3.34	1.86	2.56	23.2	42.94	28.03	11.96	20.27	16.45	14.93	40.14	22.23	16.29	16.51
PF3D7_1142100	PF3D7_1142100.1	187.04	203.66	273.4	175.63	236.53	280.77	940.23	1779.99	N/A	327.13	463.55	426.97	212.34	99.01	122.81	227.19	277.83	454.45	490.1	312.49	250.12	334.97	307.75	363.34
PF3D7_1142200	PF3D7_1142200.1	3.17	0.34	0.14	1.33	27.28	111.2	242.71	96.59	N/A	5.74	3.02	0.25	5.17	29.91	39.76	32.78	15.52	15.17	8.29	9.28	27.05	11.8	11.98	9.11
PF3D7_1142300	PF3D7_1142300.1	100.05	15.08	6.86	8.16	146.65	338.11	906	1819.93	N/A	152.34	41.72	8.99	21.15	86.28	116.05	211.47	334.06	101.46	72.83	79.24	129.25	199.08	213.57	149.18
PF3D7_1142400	PF3D7_1142400.1	35.09	52.41	102.96	92.08	256.16	387.63	794.4	625.96	CPO	78.14	106.53	170.02	174.49	148.59	167.41	152.09	134.66	120.74	196.63	149.46	193.73	118.76	103.3	91.23
PF3D7_1142500	PF3D7_1142500.1	161.28	548.25	774.4	1051.43	3382.79	4897.52	6110.1	3782.52	RPL28	126.78	449.96	703.96	923.72	956.43	689.95	517.37	197.82	81.98	231.75	268.98	255.59	123.16	93.36	105.01
PF3D7_1142600	PF3D7_1142600.1	386.1	854.38	1496.75	1688.31	6432.56	7839.42	10001.4	7415.25	N/A	548.68	1603.63	2328.87	2872.56	2861.47	2088.97	1516.69	732.17	337.81	699.95	960.82	780.39	190.06	284.16	303.7
PF3D7_1142700	PF3D7_1142700.1	9.3	44.28	93.01	110.82	429.72	443.69	661.94	333.57	N/A	19.5	73.17	163.93	188.08	164.95	136.62	100.36	37.63	62.05	167.06	174.32	127.49	59.03	48.09	66.16
